u,merchant_vpa,merchant_name,category,risk_level,kyc_status
M1378,betkingonline@razorpay,BetKing Online,betting,HIGH,rejected
M1379,quickbazaarhub2@razorpay,QuickBazaar Hub,grocery,LOW,verified
M1380,oilstopstore@easebuzz,OilStop Store,fuel,LOW,verified
M1381,bitswapstore1@razorpay,BitSwap Store,crypto,HIGH,verified
M1382,digitalmartstore@upi,DigitalMart Store,electronics,MEDIUM,verified
M1383,shopmarthub@easebuzz,ShopMart Hub,grocery,LOW,verified
M1384,betmasterstore2@razorpay,BetMaster Store,betting,HIGH,verified
M1385,betmasteronline@easebuzz,BetMaster Online,betting,HIGH,rejected
M1386,gamershubpvt1@razorpay,GamersHub Pvt,gaming,MEDIUM,verified
M1387,levelupindia@razorpay,LevelUp India,gaming,MEDIUM,pending
M1388,bookmyflightstore@easebuzz,BookMyFlight Store,travel,LOW,verified
M1389,oilstopstore1@razorpay,OilStop Store,fuel,LOW,verified
M1390,techworldco@upi,TechWorld Co,electronics,MEDIUM,verified
M1391,oilstopco1@upi,OilStop Co,fuel,LOW,verified
M1392,offshorevaulthub@easebuzz,OffshoreVault Hub,crypto,HIGH,verified
M1393,betkingpvt@paytm,BetKing Pvt,betting,HIGH,rejected
M1394,jetsetgoonline@easebuzz,JetSetGo Online,travel,LOW,verified
M1395,xtremegamingstore@razorpay,XtremeGaming Store,gaming,MEDIUM,verified
M1396,anonpayindia1@upi,AnonPay India,crypto,HIGH,pending
M1397,xtremegaming@upi,XtremeGaming,gaming,MEDIUM,verified
M1398,playzone@easebuzz,PlayZone,gaming,MEDIUM,pending
M1399,cryptonowstore1@paytm,CryptoNow Store,crypto,HIGH,verified
M1400,bookmyflightindia@razorpay,BookMyFlight India,travel,LOW,verified
M1401,winnersbet83@upi,WinnersBet 83,betting,HIGH,rejected
M1402,techworldstore@upi,TechWorld Store,electronics,MEDIUM,pending
M1403,oilstoppvt1@easebuzz,OilStop Pvt,fuel,LOW,verified
M1404,anonpaypvt@paytm,AnonPay Pvt,crypto,HIGH,rejected
M1405,cryptoedgeco@upi,CryptoEdge Co,crypto,HIGH,pending
M1406,betkingonline@easebuzz,BetKing Online,betting,HIGH,pending
M1407,betmasteronline@paytm,BetMaster Online,betting,HIGH,verified
M1408,quickbucks18@razorpay,QuickBucks 18,betting,HIGH,rejected
M1409,coindealstore@easebuzz,CoinDeal Store,crypto,HIGH,verified
M1410,oilstopstore2@razorpay,OilStop Store,fuel,LOW,verified
M1411,levelup1@razorpay,LevelUp,gaming,MEDIUM,verified
M1412,offshorevaultco@paytm,OffshoreVault Co,crypto,HIGH,rejected
M1413,techworldstore1@upi,TechWorld Store,electronics,MEDIUM,verified
M1414,cricketbetsstore1@paytm,CricketBets Store,betting,HIGH,pending
M1415,quickbuckshub@upi,QuickBucks Hub,betting,HIGH,verified
M1416,bitswap18@upi,BitSwap 18,crypto,HIGH,pending
M1417,anonpayhub@easebuzz,AnonPay Hub,crypto,HIGH,rejected
M1418,betmasterco1@upi,BetMaster Co,betting,HIGH,rejected
M1419,quickbucksindia1@easebuzz,QuickBucks India,betting,HIGH,pending
M1420,gamershubindia@paytm,GamersHub India,gaming,MEDIUM,verified
M1421,oilstopco2@upi,OilStop Co,fuel,LOW,verified
M1422,techworld67@paytm,TechWorld 67,electronics,MEDIUM,verified
M1423,winnersbet92@paytm,WinnersBet 92,betting,HIGH,rejected
M1424,gadgetzone2@easebuzz,GadgetZone,electronics,MEDIUM,verified
M1425,bookmyflight54@paytm,BookMyFlight 54,travel,LOW,verified
M1426,jetsetgostore@paytm,JetSetGo Store,travel,LOW,verified
M1427,petrolpointco@paytm,PetrolPoint Co,fuel,LOW,verified
M1428,levelupindia@paytm,LevelUp India,gaming,MEDIUM,rejected
M1429,shadowmart9@paytm,ShadowMart 9,grocery,LOW,verified
M1430,cricketbetspvt@easebuzz,CricketBets Pvt,betting,HIGH,pending
M1431,quickbucks49@easebuzz,QuickBucks 49,betting,HIGH,pending
M1432,playzonepvt@razorpay,PlayZone Pvt,gaming,MEDIUM,verified
M1433,shopmartonline1@upi,ShopMart Online,grocery,LOW,verified
M1434,rapidbet@paytm,RapidBet,betting,HIGH,rejected
M1435,cryptoedgeonline1@easebuzz,CryptoEdge Online,crypto,HIGH,rejected
M1436,gadgetzone32@razorpay,GadgetZone 32,electronics,MEDIUM,verified
M1437,petrolpointindia1@paytm,PetrolPoint India,fuel,LOW,verified
M1438,cricketbets1@upi,CricketBets,betting,HIGH,verified
M1439,playzone1@easebuzz,PlayZone,gaming,MEDIUM,verified
M1440,bookmyflight@upi,BookMyFlight,travel,LOW,verified
M1441,quickbucks52@upi,QuickBucks 52,betting,HIGH,pending
M1442,gamershub@upi,GamersHub,gaming,MEDIUM,verified
M1443,quickbucksco@razorpay,QuickBucks Co,betting,HIGH,pending
M1444,rapidbethub1@upi,RapidBet Hub,betting,HIGH,pending
M1445,jetsetgoco1@easebuzz,JetSetGo Co,travel,LOW,verified
M1446,bookmyflightpvt1@easebuzz,BookMyFlight Pvt,travel,LOW,verified
M1447,xtremegaminghub@easebuzz,XtremeGaming Hub,gaming,MEDIUM,pending
M1448,coindealonline@easebuzz,CoinDeal Online,crypto,HIGH,verified
M1449,oilstoppvt2@easebuzz,OilStop Pvt,fuel,LOW,verified
M1450,tripeasystore1@upi,TripEasy Store,travel,LOW,verified
M1451,petrolpointonline@easebuzz,PetrolPoint Online,fuel,LOW,verified
M1452,rapidbetonline1@upi,RapidBet Online,betting,HIGH,verified
M1453,levelupindia@easebuzz,LevelUp India,gaming,MEDIUM,pending
M1454,cricketbetsco@paytm,CricketBets Co,betting,HIGH,verified
M1455,techworld@paytm,TechWorld,electronics,MEDIUM,verified
M1456,quickbazaarco@easebuzz,QuickBazaar Co,grocery,LOW,verified
M1457,tripeasystore@paytm,TripEasy Store,travel,LOW,verified
M1458,betmasterindia@easebuzz,BetMaster India,betting,HIGH,rejected
M1459,playzoneco1@easebuzz,PlayZone Co,gaming,MEDIUM,pending
M1460,bitswaphub@razorpay,BitSwap Hub,crypto,HIGH,pending
M1461,leveluphub@razorpay,LevelUp Hub,gaming,MEDIUM,verified
M1462,quickbazaar66@easebuzz,QuickBazaar 66,grocery,LOW,verified
M1463,betking93@razorpay,BetKing 93,betting,HIGH,rejected
M1464,fastcash99hub1@easebuzz,FastCash99 Hub,betting,HIGH,verified
M1465,techworldpvt@paytm,TechWorld Pvt,electronics,MEDIUM,verified
M1466,gadgetzoneonline@razorpay,GadgetZone Online,electronics,MEDIUM,verified
M1467,shadowmartco1@easebuzz,ShadowMart Co,grocery,LOW,verified
M1468,quickbucks32@razorpay,QuickBucks 32,betting,HIGH,verified
M1469,anonpay63@easebuzz,AnonPay 63,crypto,HIGH,verified
M1470,cryptoedgepvt@upi,CryptoEdge Pvt,crypto,HIGH,rejected
M1471,offshorevaultpvt2@paytm,OffshoreVault Pvt,crypto,HIGH,pending
M1472,fastcash99@paytm,FastCash99,betting,HIGH,pending
M1473,betmasterco@paytm,BetMaster Co,betting,HIGH,rejected
M1474,levelupco1@easebuzz,LevelUp Co,gaming,MEDIUM,verified
M1475,bitswap80@easebuzz,BitSwap 80,crypto,HIGH,verified
M1476,cryptoedgeonline1@paytm,CryptoEdge Online,crypto,HIGH,verified
M1477,oilstopstore3@razorpay,OilStop Store,fuel,LOW,verified
M1478,xtremegamingonline@upi,XtremeGaming Online,gaming,MEDIUM,verified
M1479,digitalmartpvt1@upi,DigitalMart Pvt,electronics,MEDIUM,verified
M1480,fastcash99store@razorpay,FastCash99 Store,betting,HIGH,verified
M1481,oilstopindia@razorpay,OilStop India,fuel,LOW,pending
M1482,shopmartco@upi,ShopMart Co,grocery,LOW,verified
M1483,digitalmart@paytm,DigitalMart,electronics,MEDIUM,verified
M1484,shadowmart49@paytm,ShadowMart 49,grocery,LOW,verified
M1485,oilstoppvt@paytm,OilStop Pvt,fuel,LOW,verified
M1486,offshorevaulthub@paytm,OffshoreVault Hub,crypto,HIGH,rejected
M1487,petrolpointco@upi,PetrolPoint Co,fuel,LOW,pending
M1488,playzone89@razorpay,PlayZone 89,gaming,MEDIUM,verified
M1489,offshorevaultstore@paytm,OffshoreVault Store,crypto,HIGH,verified
M1490,speedfuel@upi,SpeedFuel,fuel,LOW,verified
M1491,shopmartonline1@paytm,ShopMart Online,grocery,LOW,verified
M1492,cryptonowco@easebuzz,CryptoNow Co,crypto,HIGH,rejected
M1493,winnersbethub1@easebuzz,WinnersBet Hub,betting,HIGH,rejected
M1494,bitswapindia@razorpay,BitSwap India,crypto,HIGH,verified
M1495,quickbucksco@paytm,QuickBucks Co,betting,HIGH,pending
M1496,petrolpointonline1@razorpay,PetrolPoint Online,fuel,LOW,verified
M1497,speedfuel35@easebuzz,SpeedFuel 35,fuel,LOW,verified
M1498,shadowmartonline@easebuzz,ShadowMart Online,grocery,LOW,verified
M1499,bitswaponline@paytm,BitSwap Online,crypto,HIGH,rejected
